"","genes","res"
"736","KRT10","r25"
"737","SELL","r25"
"738","CASP4","r25"
"739","CEACAM6","r25"
"740","RSAD2","r25"
"741","NMI","r25"
"742","FOXC1","r25"
"743","SDK1","r25"
"744","SPARC","r25"
"745","ADCY7","r25"
"746","LINC00643","r25"
"747","COL15A1","r25"
"748","NWD2","r25"
"749","HIF1A","r25"
"750","MAGED4","r25"
"751","MAGED4B","r25"
"752","P2RX7","r25"
"753","RICTOR","r25"
"754","XYLT1","r25"
"755","CCBL1","r25"
"756","DUOXA2","r25"
"757","LILRB1","r25"
"758","PPP2R2C","r25"
"759","ANKRD12","r25"
"760","KCNJ16","r25"
"761","PRR15","r25"
"762","NEFL","r25"
"763","TRPV3","r25"
"764","NIPAL4","r25"
"765","FAS","r25"
"766","BARX2","r25"
"767","AMICA1","r25"
"768","PTPRE","r25"
"769","COL6A1","r25"
"770","LILRA5","r25"
"771","CCNJL","r25"
"772","CD48","r25"
"773","SCLT1","r25"
"774","MGAT4A","r25"
"775","LYST","r25"
"776","WIPF1","r25"
"777","FLJ44635","r25"
"778","LMO2","r25"
"779","ITPR2","r25"
"780","CRABP2","r25"
"781","TSPAN16","r25"
"782","TMEM252","r25"
"783","RAB8B","r25"
"784","BAZ2B","r25"
"785","LCP1","r25"
"786","C12orf29","r25"
"787","TM6SF1","r25"
"788","MALT1","r25"
"789","JAK3","r25"
"790","LINC00094","r25"
"791","CCNE2","r25"
"792","CPNE8","r25"
"793","USP25","r25"
"794","LOH12CR2","r25"
"795","KIF5A","r25"
"796","SLC25A37","r25"
"797","S100A8","r25"
"798","GPCPD1","r25"
"799","LINC01270","r25"
"800","ZFAND6","r25"
"801","SNAI1","r25"
"802","MX2","r25"
"803","DUSP10","r25"
"804","ZNF764","r25"
"805","REL","r25"
"806","TMPRSS11F","r25"
"807","SORBS1","r25"
"808","TPRG1","r25"
"809","MYOM3","r25"
"810","LOC100132077","r25"
"811","PLVAP","r25"
"812","PECAM1","r25"
"813","PHACTR3","r25"
"814","LRWD1","r25"
"815","MGAM","r25"
"816","ADAMDEC1","r25"
